,player_name,fantasy_pts
0,Josh Allen,364.62
1,Jalen Hurts,299.06
2,Drake Maye,351.96
3,Matthew Stafford,350.38
4,Dak Prescott,313.78
5,Joe Burrow,134.46
6,Lamar Jackson,214.86
7,Bo Nix,304.84
8,Justin Herbert,286.88
9,Baker Mayfield,271.92
10,Caleb Williams,318.18
11,Jared Goff,297.06
12,Brock Purdy,177.38
13,Jaxson Dart,241.58
14,Trevor Lawrence,338.18
15,Jordan Love,235.14
16,Jacoby Brissett,227.44
17,Patrick Mahomes,285.68
18,Jayden Daniels,114.28
19,C.J. Stroud,208.54
20,Sam Darnold,235.42
21,Daniel Jones,226.44
22,J.J. McCarthy,125.38
23,Aaron Rodgers,227.08
24,Tyler Shough,157.96
25,Kyler Murray,77.78
26,Justin Fields,142.66
27,Bryce Young,218.04
28,Marcus Mariota,125.5
29,Shedeur Sanders,84.9
30,Tua Tagovailoa,160.7
31,Joe Flacco,146.66
32,Kirk Cousins,103.54
33,Philip Rivers,31.66
34,Geno Smith,173.9
35,Cam Ward,186.66
36,Tyrod Taylor,59.46
37,Michael Penix Jr.,120.28
38,Malik Willis,51.18
39,Davis Mills,68.6
40,Mac Jones,130.04
41,Quinn Ewers,33.18
42,Jameis Winston,43.28
43,Tanner McKee,13.76
44,Gardner Minshew,-0.32
45,Carson Wentz,70.34
46,Russell Wilson,49.84
47,Josh Johnson,24.38
48,Spencer Rattler,99.14
49,Anthony Richardson Sr.,2.16
50,Dillon Gabriel,70.08
51,Trey Lance,13.54
52,Mason Rudolph,15.0
53,Tyler Huntley,40.14
54,Jake Browning,48.74
55,Max Brosmer,4.22
56,Kenny Pickett,7.72
57,Chris Oladokun,11.2
58,Deshaun Watson,0.0
59,Brady Cook,28.46
60,Riley Leonard,29.0
61,Jalen Milroe,-1.6
62,Andy Dalton,9.52
63,Mitchell Trubisky,31.12
64,Jimmy Garoppolo,-1.0
65,Joe Milton III,10.32
66,Will Howard,0.0
67,Cooper Rush,1.72
68,Teddy Bridgewater,2.88
69,Tyson Bagent,2.58
70,Joshua Dobbs,2.1
71,Will Levis,0.0
72,Tommy DeVito,0.0
73,Clayton Tune,1.98
74,Zach Wilson,1.38
75,Derek Carr,0.0
76,Stetson Bennett IV,0.0
77,Jarrett Stidham,-0.1
78,Kyle Allen,-0.3
79,Drew Lock,0.1
80,Sam Howell,0.0
81,Aidan O'Connell,4.78
82,Ryan Tannehill,0.0
83,Ben DiNucci,0.0
84,Nathan Peterman,0.0
85,Hendon Hooker,0.0
86,Kyle McCord,0.0
87,Nick Mullens,-0.04
88,Case Keenum,0.0
89,Max Duggan,0.0
90,Jordan Travis,0.0
91,Brandon Allen,0.88
92,Skylar Thompson,0.0
93,Kurtis Rourke,0.0
94,Matt Barkley,0.0
95,Taylor Heinicke,0.0
96,Easton Stick,0.0
97,Kyle Trask,0.0
98,Desmond Ridder,0.0
99,Bailey Zappe,0.0
100,Dorian Thompson-Robinson,0.0
101,Michael Pratt,0.0
102,Cam Miller,0.0
103,Kedon Slovis,-0.08
104,Adrian Martinez,-0.1
105,Graham Mertz,0.0
106,AJ McCarron,0.0
107,Blaine Gabbert,0.0
108,Brian Hoyer,0.0
109,Jeff Driskel,0.0
110,Mike White,0.0
111,C.J. Beathard,0.0
112,Trevor Siemian,0.0
113,Ryan Griffin,0.0
114,Brett Rypien,0.0
115,Logan Woodside,0.0
116,Tim Boyle,0.0
117,PJ Walker,0.0
118,Jake Fromm,0.0
119,John Wolford,0.0
120,Ian Book,0.0
121,Sam Ehlinger,0.0
122,Matt Corral,0.0
123,Carson Strong,0.0
124,Shane Buechele,3.92
125,Anthony Brown Jr.,0.0
126,Sean Clifford,0.0
127,Jake Haener,0.0
128,Jaren Hall,0.0
129,Nathan Rourke,0.0
130,Devin Leary,0.0
