,player_name,fantasy_pts
0,Bijan Robinson,370.8
1,Jahmyr Gibbs,366.9
2,Christian McCaffrey,416.6
3,Jonathan Taylor,362.3
4,James Cook III,302.2
5,Saquon Barkley,232.3
6,De'Von Achane,322.8
7,Derrick Henry,279.5
8,Ashton Jeanty,245.1
9,Kyren Williams,263.3
10,Chase Brown,282.6
11,Josh Jacobs,237.1
12,Bucky Irving,138.5
13,TreVeyon Henderson,206.2
14,Travis Etienne Jr.,253.9
15,D'Andre Swift,228.6
16,Rico Dowdle,216.3
17,Javonte Williams,242.8
18,Breece Hall,207.66
19,Jaylen Warren,217.1
20,Kenneth Walker III,191.9
21,RJ Harvey,206.6
22,Omarion Hampton,135.7
23,David Montgomery,166.92
24,Tyrone Tracy Jr.,160.8
25,Kenneth Gainwell,221.3
26,Aaron Jones Sr.,118.7
27,Tony Pollard,185.8
28,Rhamondre Stevenson,178.8
29,Woody Marks,151.1
30,Alvin Kamara,100.7
31,Quinshon Judkins,169.8
32,Kyle Monangai,146.7
33,Zach Charbonnet,181.4
34,Chuba Hubbard,125.4
35,Kareem Hunt,145.4
36,Isiah Pacheco,87.3
37,Rachaad White,143.0
38,Michael Carter,99.0
39,Jordan Mason,128.9
40,Kimani Vidal,117.9
41,Jacory Croskey-Merritt,140.3
42,Blake Corum,122.2
43,Nick Chubb,88.3
44,Emanuel Wilson,94.5
45,J.K. Dobbins,115.9
46,Chris Rodriguez Jr.,92.0
47,Trey Benson,35.4
48,Devin Neal,60.0
49,Devin Singletary,108.8
50,Tyjae Spears,111.7
51,Tyler Allgeier,123.0
52,Dylan Sampson,87.6
53,Bam Knight,92.9
54,Cam Skattebo,127.7
55,Joe Mixon,0.0
56,Brian Robinson Jr.,62.5
57,James Conner,33.3
58,Bhayshul Tuten,88.6
59,Audric Estime,48.1
60,Sean Tucker,91.4
61,Tank Bigsby,53.8
62,Jaydon Blue,20.4
63,Kaleb Johnson,8.8
64,Austin Ekeler,13.1
65,Jaylen Wright,48.2
66,Emari Demercado,58.3
67,Jerome Ford,43.6
68,Justice Hill,65.2
69,Samaje Perine,77.9
70,Ollie Gordon II,54.1
71,Braelon Allen,15.3
72,Najee Harris,11.6
73,Ray Davis,64.1
74,Jawhar Jordan,29.7
75,Isaiah Davis,71.2
76,Jeremy McNichols,72.7
77,Chris Brooks,32.7
78,Will Shipley,17.5
79,Terrell Jennings,15.2
80,Brashard Smith,63.3
81,Kendre Miller,33.3
82,Keaton Mitchell,55.4
83,Ty Johnson,100.3
84,Hassan Haskins,10.0
85,Malik Davis,40.6
86,MarShawn Lloyd,0.0
87,Isaac Guerendo,0.0
88,Jaleel McLaughlin,31.4
89,Raheim Sanders,20.3
90,Dameon Pierce,3.6
91,Evan Hull,6.4
92,Khalil Herbert,6.6
93,Roschon Johnson,1.7
94,Miles Sanders,26.7
95,Raheem Mostert,29.4
96,Trevor Etienne,11.7
97,DJ Giddens,9.6
98,Kyle Juszczyk,57.0
99,Dare Ogunbowale,24.1
100,Ameer Abdullah,35.9
101,Tyler Badie,35.4
102,Jonathon Brooks,0.0
103,Tahj Brooks,6.4
104,Elijah Mitchell,0.0
105,Jarquez Hunter,0.0
106,Zavier Scott,39.2
107,LeQuint Allen Jr.,24.8
108,AJ Dillon,9.1
109,Antonio Gibson,23.2
110,Jaret Patterson,25.7
111,Ezekiel Elliott,0.0
112,Zamir White,9.6
113,Hunter Luepke,37.0
114,Rasheen Ali,24.2
115,Trayveon Williams,17.1
116,Ronnie Rivers,4.6
117,Alec Ingold,14.1
118,Ty Chandler,8.8
119,Phil Mafah,10.9
120,Dalvin Cook,0.0
121,Kalel Mullings,0.7
122,Julius Chestnut,4.0
123,Pierre Strong Jr.,0.0
124,Clyde Edwards-Helaire,4.2
125,Jordan James,0.0
126,Kene Nwangwu,10.9
127,Leonard Fournette,0.0
128,Tyler Goodson,5.2
129,George Holani,14.8
130,C.J. Ham,15.6
131,Dylan Laube,3.7
132,Cam Akers,7.18
133,Travis Homer,-0.2
