,player_name,fantasy_pts
0,Trey McBride,315.9
1,Tyler Warren,188.5
2,Travis Kelce,193.2
3,Kyle Pitts Sr.,210.8
4,Jake Ferguson,188.1
5,George Kittle,161.5
6,Dallas Goedert,185.1
7,Hunter Henry,178.8
8,Mark Andrews,131.0
9,Harold Fannin Jr.,186.4
10,Brock Bowers,176.2
11,Dalton Kincaid,126.1
12,Juwan Johnson,179.9
13,T.J. Hockenson,112.8
14,Dalton Schultz,177.7
15,Sam LaPorta,106.9
16,Oronde Gadsden,131.4
17,Colston Loveland,165.1
18,David Njoku,86.3
19,Theo Johnson,127.8
20,AJ Barner,147.3
21,Evan Engram,102.8
22,Zach Ertz,126.4
23,Brenton Strange,118.0
24,Colby Parkinson,129.8
25,Taysom Hill,41.78
26,Darren Waller,88.7
27,Cade Otton,122.2
28,Tucker Kraft,117.2
29,Jake Tonges,93.3
30,Isaiah Likely,61.7
31,Michael Mayer,73.8
32,Jonnu Smith,85.2
33,Mason Taylor,88.9
34,Chig Okonkwo,124.0
35,Pat Freiermuth,113.6
36,Mike Gesicki,70.7
37,Luke Musgrave,49.2
38,Dawson Knox,103.7
39,Brock Wright,36.8
40,Noah Fant,74.8
41,Tyler Higbee,71.1
42,Darnell Washington,73.4
43,Cole Kmet,78.7
44,Gunnar Helm,91.7
45,Ja'Tavion Sanders,54.0
46,Elijah Arroyo,36.9
47,Terrance Ferguson,52.1
48,Noah Gray,38.8
49,Greg Dulcich,62.8
50,Ben Sinnott,28.4
51,Tommy Tremble,63.9
52,Luke Schoonmaker,27.2
53,Josh Oliver,55.0
54,Davis Allen,62.8
55,Austin Hooper,59.3
56,Daniel Bellinger,59.6
57,Cade Stover,19.9
58,Grant Calcaterra,22.6
59,Elijah Higgins,58.1
60,Tyler Conklin,17.3
61,Will Dissly,20.7
62,Adam Trautman,45.5
63,Luke Farrell,29.5
64,Jackson Hawes,52.7
65,Jimmy Graham,0.0
66,John Bates,27.3
67,Jeremy Ruckert,46.9
68,Mo Alie-Cox,30.7
69,Mitchell Evans,48.2
70,Ross Dwelley,2.7
71,Julian Hill,29.0
72,Charlie Woerner,12.8
73,Hunter Long,32.5
74,Kylen Granson,11.0
75,Charlie Kolar,36.2
76,Shane Zylstra,5.0
77,John FitzPatrick,25.2
78,Foster Moreau,12.9
79,Johnny Mundt,20.1
80,Drew Sample,31.9
81,Payne Durham,2.1
82,Brevyn Spann-Ford,24.0
83,Ian Thomas,24.4
84,Blake Whiteheart,2.4
85,Durham Smythe,6.5
86,Colson Yankoff,3.8
87,Anthony Firkser,13.3
88,Josh Whyle,14.6
89,Tanner Conner,18.1
90,Eric Saubert,9.1
91,Tanner Hudson,47.8
92,Connor Heyward,27.4
93,Drew Ogletree,12.7
94,Gavin Bartholomew,0.0
95,Marcedes Lewis,0.0
96,Lucas Krull,3.5
97,Tip Reiman,4.8
98,David Martin-Robinson,13.0
99,Jared Wiley,1.4
100,Nate Adkins,16.8
101,Jack Westover,1.0
102,Feleipe Franks,0.4
103,Chris Manhertz,1.7
104,Stone Smartt,12.2
105,Ko Kieft,0.0
106,Ben Sims,6.0
107,Erick All Jr.,0.0
108,Thomas Fidone II,0.0
109,Robert Tonyan,1.1
110,Albert Okwuegbunam Jr.,8.6
111,Dominique Dafney,0.0
112,Cameron Latu,0.0
113,Jaheim Bell,0.0
114,John Samuel Shenker,0.0
115,Moliki Matavao,3.0
116,Tucker Fisk,3.9
117,Teagan Quitoriano,0.0
118,Will Mallory,2.6
119,Irv Smith Jr.,0.0
120,Tyree Jackson,0.0
121,Donald Parham Jr.,0.0
122,Brevin Jordan,0.0
123,Kenny Yeboah,0.0
124,Jelani Woods,1.4
125,James Mitchell,5.8
126,Travis Vokolek,0.0
127,Devin Culp,7.6
128,Cam Grandy,2.7
129,Logan Thomas,0.0
130,Nick Vannett,0.0
131,Eric Tomlinson,0.0
132,C.J. Uzomah,0.0
133,Gerald Everett,0.0
134,Hayden Hurst,0.0
135,N'Keal Harry,0.0
136,Stephen Carlson,0.0
137,Pharaoh Brown,2.1
138,Josiah Deguara,11.1
139,Harrison Bryant,2.7
140,Tre' McKitty,0.0
141,Jack Stoll,16.6
142,Matt Bushman,0.0
143,Jalen Wydermyer,0.0
144,Quintin Morris,17.5
145,Chase Allen,0.0
146,Zack Kuntz,0.0
147,Brayden Willis,0.0
148,Cole Fotheringham,0.0
149,Henry Pearson,0.0
150,Princeton Fant,0.0
151,John Stephens Jr.,0.0
152,Dallin Holker,0.0
153,Brenden Bates,8.8
154,Thomas Odukoya,0.0
155,Baylor Cupp,0.0
156,E.J. Jenkins,0.0
157,Luke Lachey,0.0
158,Caleb Lohner,0.0
159,Zaire Mitchell-Paden,3.7
160,Ben Yurosek,3.4
161,Nick Kallerup,0.0
162,Keleki Latu,7.5
163,Carter Runyon,1.3
164,Sal Cannella,3.1
165,Tanner McLachlan,0.0
166,Jordan Akins,0.0
167,MyCole Pruitt,0.0
168,Darrell Daniels,0.0
169,Stephen Anderson,0.0
170,Tyler Kroft,0.0
171,Blake Bell,0.0
172,Zach Gentry,0.0
173,Trevon Wesco,0.0
174,Jordan Matthews,0.0
175,Geoff Swaim,0.0
176,Jesper Horsted,0.0
177,Brycen Hopkins,0.0
178,Dalton Keene,0.0
179,Stephen Sullivan,0.0
180,Tyler Davis,0.0
181,Sean McKeon,0.0
182,Noah Togiai,0.0
183,Lawrence Cager,0.0
184,Kevin Rader,0.0
185,Matt Sokol,0.0
186,Zach Davidson,0.0
187,Jody Fortson,0.0
188,Parker Hesse,0.0
189,David Wells,0.0
190,Mitchell Wilcox,0.0
191,Giovanni Ricci,0.0
192,Hunter Kampmoyer,0.0
193,Tyler Mabry,0.0
194,Cole Turner,0.0
195,Nick Muse,0.0
196,Peyton Hendershot,0.0
197,Armani Rogers,0.0
198,Nikola Kalinic,0.0
199,Roger Carter Jr.,0.0
200,Curtis Hodges,0.0
201,Rodney Williams,0.0
202,Josh Pederson,0.0
203,Zach Horton,0.0
204,Drake Dabney,1.3
205,Hayden Rucci,0.0
206,Treyton Welch,0.0
207,CJ Dippre,0.0
