,player_name,fantasy_pts
0,Ja'Marr Chase,313.6
1,Puka Nacua,375.0
2,CeeDee Lamb,200.9
3,Amon-Ra St. Brown,324.0
4,Jaxon Smith-Njigba,359.9
5,Justin Jefferson,201.5
6,George Pickens,291.9
7,Nico Collins,226.2
8,Drake London,201.9
9,A.J. Brown,220.3
10,Tee Higgins,211.6
11,Jameson Williams,219.9
12,Zay Flowers,243.3
13,Davante Adams,222.9
14,Ladd McConkey,180.9
15,Courtland Sutton,219.7
16,Chris Olave,268.0
17,Jaylen Waddle,194.12
18,Tetairoa McMillan,211.4
19,DeVonta Smith,201.8
20,Stefon Diggs,210.3
21,Michael Pittman Jr.,202.4
22,Emeka Egbuka,195.7
23,Deebo Samuel,188.2
24,Terry McLaurin,114.2
25,Mike Evans,84.8
26,Michael Wilson,220.6
27,Brian Thomas Jr.,138.8
28,Marvin Harrison Jr.,127.8
29,Wan'Dale Robinson,217.9
30,Jauan Jennings,173.3
31,Jakobi Meyers,175.8
32,Rashee Rice,150.1
33,DJ Moore,170.18
34,Rome Odunze,146.1
35,DK Metcalf,187.2
36,Keenan Allen,182.7
37,Xavier Worthy,109.9
38,Khalil Shakir,166.4
39,Jordan Addison,135.1
40,Christian Watson,132.4
41,Chris Godwin Jr.,83.0
42,Garrett Wilson,99.5
43,Romeo Doubs,165.4
44,Quentin Johnston,171.2
45,Troy Franklin,177.1
46,Jerry Jeudy,120.7
47,Rashid Shaheed,156.6
48,Ricky Pearsall,88.6
49,Jayden Reed,48.5
50,Alec Pierce,183.3
51,Cooper Kupp,116.3
52,Josh Downs,136.4
53,Darnell Mooney,82.3
54,Luther Burden III,127.9
55,Keon Coleman,102.4
56,Tre Tucker,161.7
57,Adonai Mitchell,87.9
58,Matthew Golden,70.0
59,Jayden Higgins,129.5
60,Parker Washington,184.7
61,Travis Hunter,63.8
62,Malik Nabers,57.1
63,Kayshon Boutte,124.1
64,Chimere Dike,126.1
65,Calvin Ridley,47.3
66,Darius Slayton,98.8
67,Hollywood Brown,137.7
68,Tyreek Hill,53.5
69,Brandon Aiyuk,0.0
70,Xavier Legette,89.3
71,Tez Johnson,92.4
72,John Metchie III,71.9
73,Malik Washington,116.7
74,Jalen Coker,90.4
75,Calvin Austin III,86.2
76,Marvin Mims Jr.,93.0
77,Christian Kirk,57.9
78,Rashod Bateman,55.4
79,Elic Ayomanor,116.5
80,Cedric Tillman,60.0
81,DeMario Douglas,95.8
82,Kendrick Bourne,92.1
83,Andrei Iosivas,89.9
84,Mack Hollins,113.4
85,Adam Thielen,39.6
86,Devaughn Vele,66.3
87,Isaac TeSlaa,75.9
88,Ryan Flournoy,114.0
89,Sterling Shepard,82.0
90,Kyle Williams,49.2
91,DeAndre Hopkins,67.0
92,Tre' Harris,69.4
93,Konata Mumpfield,25.2
94,Joshua Palmer,52.3
95,Greg Dortch,75.1
96,Tory Horton,65.1
97,JuJu Smith-Schuster,73.5
98,Jack Bech,42.4
99,Pat Bryant,74.8
100,KaVontae Turpin,84.5
101,Dontayvion Wicks,75.8
102,Olamide Zaccheaus,84.8
103,Jalen Nailor,100.7
104,Isaiah Hodgins,27.5
105,Josh Reynolds,23.1
106,Tyler Lockett,73.1
107,Jalen McMillan,29.9
108,Jaylin Noel,68.4
109,Tyquan Thornton,80.8
110,Luke McCaffrey,51.3
111,Amari Cooper,0.0
112,Kevin Austin Jr.,33.0
113,Nick Westbrook-Ikhine,19.9
114,Dyami Brown,49.7
115,Tutu Atwell,31.2
116,Marquez Valdes-Scantling,32.0
117,Tank Dell,0.0
118,Brandin Cooks,51.9
119,Dont'e Thornton Jr.,23.5
120,Chris Moore,38.6
121,Xavier Hutchinson,98.0
122,Jalen Tolbert,46.3
123,Ray-Ray McCloud III,13.9
124,Jaylin Lane,49.2
125,Isaiah Williams,58.7
126,Van Jefferson,70.0
127,Gabe Davis,30.9
128,Tom Kennedy,7.6
129,Jahan Dotson,50.2
130,David Sills V,49.1
131,Isaiah Bond,54.7
132,Odell Beckham Jr.,0.0
133,Hunter Renfrow,35.9
134,Noah Brown,13.3
135,Roman Wilson,38.6
136,Demarcus Robinson,58.2
137,Allen Lazard,23.0
138,Myles Price,-6.0
139,Julio Jones,0.0
140,Efton Chism III,16.5
141,Kalif Raymond,66.8
142,Mitchell Tinsley,31.6
143,Tyrell Shavers,45.5
144,Jordan Whittington,36.3
145,Charlie Jones,6.0
146,Kameron Johnson,17.7
147,Diontae Johnson,0.0
148,Lil'Jordan Humphrey,34.6
149,Devin Duvernay,4.6
150,Jalen Brooks,6.1
151,Darius Cooper,18.2
152,Jahdae Walker,26.7
153,Dante Pettis,19.7
154,KhaDarel Hodge,6.1
155,Michael Thomas,0.0
156,Savion Williams,25.5
157,Jimmy Horn Jr.,28.7
158,Gunner Olszewski,33.82
159,Treylon Burks,29.0
160,Jalen Royals,2.4
161,Skyy Moore,14.8
162,Xavier Smith,48.3
163,Andre Baccellia,2.8
164,Elijah Moore,28.6
165,Jalin Hyatt,8.5
166,David Moore,2.7
167,Curtis Samuel,21.1
168,Jake Bobo,4.0
169,Tim Patrick,51.7
170,Jamari Thrash,20.7
171,KeAndre Lambert-Smith,16.1
172,Britain Covey,4.0
173,Derius Davis,1.5
174,Mason Tipton,20.4
175,Malachi Corley,31.6
176,Tai Felton,5.5
177,Kadarius Toney,0.0
178,Bo Melton,24.2
179,Devontez Walker,37.6
180,Anthony Gould,2.6
181,Mike Williams,0.0
182,Jermaine Burton,0.0
183,Arian Smith,13.5
184,Scotty Miller,15.2
185,Ben Skowronek,16.9
186,Nikko Remigio,4.2
187,Jonathan Mingo,3.5
188,Xavier Restrepo,7.1
189,Zay Jones,30.3
190,Jamal Agnew,-2.0
191,Tylan Wallace,14.5
192,Xavier Weaver,13.7
193,Braxton Berrios,9.7
194,LaJohntay Wester,-2.0
