target,feature,gain
receiving_yards,Past-1-season_fantasy_points_ppr,13492785.0
receiving_yards,Past-1-receiving_yards,10053172.0
receiving_yards,Past-1-season_receiving_yards,8909413.0
receiving_yards,Past-1-season_targets,4355743.5
receiving_yards,Past-1-season_average_targets,4310523.5
receiving_yards,Past-1-season_total_yards,2437610.25
receiving_yards,Past-1-third_down_converted,2251673.25
receiving_yards,Past-1-receiving_air_yards,2152884.5
receiving_yards,Past-1-season_average_receiving_yards,2007972.0
receiving_yards,Past-2-season_total_yards,1679366.5
receiving_yards,Past-1-season_touches,1461830.625
receiving_yards,Past-1-season_average_first_down_pass,1451221.25
receiving_yards,Past-1-season_average_receiving_air_yards,1345481.625
receiving_yards,Past-1-career_average_fantasy_points_standard,1280872.0
receiving_yards,Past-1-career_average_receiving_yards,1054855.625
receiving_yards,Past-1-first_down_pass,1046890.9375
receiving_yards,Past-1-targets,1041106.5
receiving_yards,Past-1-career_average_qb_dropback,925017.875
receiving_yards,Past-1-season_average_yards_after_catch,853928.5
receiving_yards,Past-1-career_average_shotgun,798950.0
receiving_yards,Past-1-career_touches,785510.1875
receiving_yards,Past-1-season_average_fantasy_points_ppr,770529.875
receiving_yards,Past-2-season_targets_redzone,740859.125
receiving_yards,Past-1-delta_career_average_interception,727576.0
receiving_yards,Past-1-career_total_yards,684372.0
receiving_yards,Past-1-career_rec_ypg,669864.75
receiving_yards,Past-2-season_average_qb_dropback,662159.25
receiving_yards,Past-1-career_average_yards_after_catch,648074.8125
receiving_yards,Past-1-fumble_forced,647470.0
receiving_yards,Past-2-career_average_fumble,637301.125
receiving_yards,Past-2-career_no_huddle,611685.0
receiving_yards,Past-2-delta_touches,610522.3125
receiving_yards,Past-1-rushing_yards,604783.5
receiving_yards,Past-2-season_receiving_air_yards,540836.0
receiving_yards,Past-2-season_average_shotgun,529947.375
receiving_yards,Past-2-season_td_pct,472576.5
receiving_yards,Past-1-total_yards,468064.75
receiving_yards,Past-1-season_no_huddle,467533.15625
receiving_yards,Past-2-delta_career_touches,462941.0625
receiving_yards,Past-1-career_average_fumble,454685.25
receiving_yards,Past-1-delta_career_average_third_down_converted,452362.3125
receiving_yards,Past-2-career_rec_td_pct,440727.5
receiving_yards,Past-2-delta_season_average_receptions_gtg,419216.75
receiving_yards,Past-2-season_average_fantasy_points_ppr,407020.75
receiving_yards,Past-1-career_rush_ypg,397286.34375
receiving_yards,Past-2-delta_career_total_tds,396221.28125
receiving_yards,Past-2-career_td_pct,392301.0625
receiving_yards,Past-1-career_team_offense_snaps,382516.9375
receiving_yards,Past-1-season_fantasy_points_standard,373969.0625
receiving_yards,Past-2-delta_career_third_down_converted,372212.34375
receiving_yards,Past-2-season_average_receiving_yards,371508.65625
receiving_yards,Past-1-career_int_pct,339090.3125
receiving_yards,Past-1-career_average_first_down_pass,331893.15625
receiving_yards,Past-1-delta_career_average_total_tds,325324.0625
receiving_yards,Past-1-adot,322441.90625
receiving_yards,Past-1-delta_season_average_receiving_air_yards,319524.78125
receiving_yards,Past-2-career_yards_after_catch,316112.0
receiving_yards,Past-1-season_average_receiving_touchdown_gtg,315950.625
receiving_yards,Past-2-delta_fantasy_points_ppr,315065.84375
receiving_yards,Past-2-delta_fantasy_points_standard,306753.75
receiving_yards,Past-1-career_ypc,306593.9375
receiving_yards,Past-2-career_average_fumble_lost,305911.65625
receiving_yards,Past-1-career_third_down_failed,301382.34375
receiving_yards,Past-1-career_yptarget,299075.0
receiving_yards,Past-1-delta_season_average_team_offense_snaps,297148.90625
receiving_yards,Past-1-season_average_offense_snaps,287806.875
receiving_yards,Past-1-team_receptions_share,284270.6875
receiving_yards,Past-1-delta_season_average_interception,281775.15625
receiving_yards,Past-2-delta_season_interception,278766.5
receiving_yards,Past-2-delta_season_average_first_down_rush,278519.1875
receiving_yards,Past-1-delta_season_receiving_air_yards,278476.5
receiving_yards,Past-2-season_average_receiving_air_yards,272896.0
receiving_yards,Past-1-season_ypg,271167.34375
receiving_yards,Past-1-career_average_rushing_yards,263683.0625
receiving_yards,Past-2-season_average_yards_after_catch,259755.546875
receiving_yards,Past-1-season_average_fourth_down_converted,256996.75
receiving_yards,Past-2-career_team_offense_snaps,255720.15625
receiving_yards,Past-1-career_average_team_offense_snaps,250992.171875
receiving_yards,Past-1-delta_career_third_down_converted,248083.234375
receiving_yards,Past-2-delta_season_average_yards_after_catch,245281.046875
receiving_yards,Past-2-career_yptouch,237484.0625
receiving_yards,Past-2-delta_season_no_huddle,230164.28125
receiving_yards,Past-2-delta_career_average_receiving_touchdown,224531.390625
